,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop
Nigeria,266675.0,,3155.0,,259953.0,,3567.0,11.0,1230.0,15.0,5708974.0,26339.0,216746934.0,Africa,,8136870038.0,
Zimbabwe,264848.0,,5690.0,,258888.0,,270.0,12.0,17275.0,371.0,2525756.0,164744.0,15331428.0,Africa,,5826946.0,
Uzbekistan,253526.0,,1637.0,,241486.0,,10403.0,23.0,7374.0,48.0,1377915.0,40077.0,34382084.0,Asia,,1362100325.0,
Mozambique,233417.0,,2243.0,,228805.0,,2369.0,11.0,7054.0,68.0,1371127.0,41437.0,33089461.0,Africa,,1421475224.0,
Martinique,229900.0,,1100.0,,,,,12.0,614563.0,2940.0,828928.0,2215870.0,374087.0,North America,,23400.0,
Afghanistan,220453.0,230.0,7912.0,,196256.0,130.0,16285.0,45.0,5409.0,194.0,1255504.0,30807.0,40754388.0,Asia,,185515132.0,6.0
Laos,218196.0,3.0,758.0,,,,,,29167.0,101.0,1233207.0,164845.0,7481023.0,Asia,,3498696.0,0.4
Iceland,209191.0,,229.0,,,,,2.0,605661.0,663.0,1996384.0,5780036.0,345393.0,Europe,,215080.0,
Kyrgyzstan,206888.0,,2991.0,,196406.0,,7491.0,131.0,30749.0,445.0,1907195.0,283460.0,6728271.0,Asia,,3322504.0,
Guadeloupe,202653.0,,1017.0,,,,,19.0,506894.0,2544.0,938039.0,2346306.0,399794.0,North America,,23930.0,
El Salvador,201785.0,,4230.0,,179410.0,,18145.0,8.0,30805.0,646.0,2610114.0,398467.0,6550389.0,North America,,3215493.0,
Trinidad and Tobago,191496.0,,4390.0,,187078.0,,28.0,8.0,136143.0,3121.0,913289.0,649295.0,1406585.0,North America,,73202.0,
Maldives,186589.0,,314.0,,163687.0,,22588.0,25.0,344906.0,580.0,2213831.0,4092223.0,540985.0,Asia,,317230.0,
Ghana,171657.0,,1462.0,,170161.0,,34.0,2.0,5299.0,45.0,2536496.0,78298.0,32395450.0,Africa,,1892215813.0,
Namibia,171310.0,,4091.0,,167099.0,,120.0,,65041.0,1553.0,1062663.0,403460.0,2633874.0,Africa,,156442.0,
Uganda,170775.0,,3632.0,,100431.0,,66712.0,3.0,3526.0,75.0,3012408.0,62198.0,48432863.0,Africa,,2841333516.0,
Jamaica,154938.0,,3545.0,,102923.0,,48470.0,,51904.0,1188.0,1183986.0,396633.0,2985094.0,North America,,198423.0,
Cambodia,138740.0,,3056.0,,135680.0,,4.0,,8081.0,178.0,3091420.0,180062.0,17168639.0,Asia,,12456186.0,
Rwanda,133194.0,,1468.0,,131647.0,,79.0,,9793.0,108.0,6021981.0,442778.0,13600464.0,Africa,,10292652.0,
Cameroon,125036.0,,1972.0,,122807.0,,257.0,13.0,4480.0,71.0,1751774.0,62762.0,27911548.0,Africa,,2231415416.0,
Malta,118631.0,,835.0,,117253.0,,543.0,4.0,267167.0,1880.0,2138016.0,4814993.0,444033.0,Europe,,45320.0,
Barbados,107794.0,,593.0,,106971.0,,230.0,,374255.0,2059.0,801451.0,2782594.0,288023.0,North America,,34860.0,
Angola,105384.0,,1934.0,,103419.0,,31.0,,3009.0,55.0,1499795.0,42818.0,35027343.0,Africa,,3321811123.0,
Channel Islands,101717.0,,228.0,,101321.0,,168.0,,576421.0,1292.0,1252808.0,7099551.0,176463.0,Europe,,27740.0,
French Guiana,98041.0,,420.0,,11254.0,,86367.0,6.0,312065.0,1337.0,651257.0,2072951.0,314169.0,South America,,37480.0,
DRC,96652.0,,1467.0,,84489.0,,10696.0,,1015.0,15.0,846704.0,8890.0,95240792.0,Africa,,98564922112.0,
Senegal,88997.0,,1971.0,,87024.0,,2.0,,5041.0,112.0,1146543.0,64946.0,17653671.0,Africa,,198895715.0,
Malawi,88728.0,,2686.0,,85651.0,,391.0,67.0,4397.0,133.0,624784.0,30959.0,20180839.0,Africa,,227751332.0,
Ivory Coast,88330.0,,834.0,,87492.0,,4.0,,3184.0,30.0,1690172.0,60924.0,27742298.0,Africa,,3143326416.0,
Suriname,82513.0,,1405.0,,,,,,138252.0,2354.0,241842.0,405210.0,596831.0,South America,,74252.0,
New Caledonia,79922.0,,314.0,,79605.0,,3.0,9.0,274726.0,1079.0,98964.0,340182.0,290915.0,Australia/Oceania,,49263.0,
French Polynesia,78545.0,,649.0,,,,,7.0,276407.0,2284.0,,,284164.0,Australia/Oceania,,4438.0,
Eswatini,74670.0,,1425.0,,73116.0,,129.0,,63022.0,1203.0,1048704.0,885119.0,1184817.0,Africa,,168311.0,
Guyana,73198.0,,1298.0,,71880.0,,20.0,,92184.0,1635.0,729688.0,918950.0,794045.0,South America,,116121.0,
Belize,70782.0,,688.0,,70085.0,,9.0,6.0,171722.0,1669.0,576016.0,1397453.0,412190.0,North America,,65991.0,
Fiji,68921.0,,883.0,,67029.0,,1009.0,,75782.0,971.0,670903.0,737689.0,909466.0,Australia/Oceania,,1310301.0,
Madagascar,68281.0,,1424.0,,66846.0,,11.0,,2340.0,49.0,530992.0,18198.0,29178077.0,Africa,,4272049055.0,
Sudan,63993.0,,5046.0,,58671.0,15.0,276.0,,1391.0,110.0,562941.0,12240.0,45992020.0,Africa,,719911582.0,
Cabo Verde,63829.0,,414.0,,63261.0,,154.0,23.0,112439.0,729.0,401622.0,707482.0,567678.0,Africa,,913711.0,
Mauritania,63715.0,,997.0,,62471.0,,247.0,,12998.0,203.0,1009957.0,206030.0,4901981.0,Africa,,7749175.0,
Bhutan,62668.0,,21.0,,61564.0,,1083.0,,79534.0,27.0,2303734.0,2923739.0,787941.0,Asia,,13375210.0,
Syria,57595.0,,3164.0,,54370.0,,61.0,,2974.0,163.0,146269.0,7553.0,19364809.0,Asia,,3366120132.0,
Burundi,53749.0,,38.0,,53569.0,,142.0,,4257.0,3.0,345742.0,27386.0,12624840.0,Africa,,23533223337.0,
Seychelles,50937.0,,172.0,,50750.0,,15.0,,512311.0,1730.0,,,99426.0,Africa,,2578.0,
Gabon,48992.0,,307.0,,48674.0,,11.0,,21013.0,132.0,1621909.0,695641.0,2331533.0,Africa,,4875951.0,
Andorra,48015.0,,165.0,,47563.0,,287.0,14.0,619844.0,2130.0,249838.0,3225256.0,77463.0,Europe,,24690.0,
Papua New Guinea,46864.0,,670.0,,43982.0,,2212.0,7.0,5043.0,72.0,249149.0,26813.0,9292169.0,Australia/Oceania,,1981386937.0,
Curaçao,45986.0,,295.0,,44720.0,,971.0,3.0,277812.0,1782.0,496693.0,3000640.0,165529.0,North America,,45610.0,
Aruba,44180.0,,236.0,,42438.0,,1506.0,2.0,410560.0,2193.0,177885.0,1653068.0,107609.0,North America,,24561.0,
Tanzania,43078.0,,846.0,,,,,7.0,681.0,13.0,,,63298550.0,Africa,,146974821.0,
Mauritius,42442.0,,1049.0,,40653.0,,740.0,,33295.0,823.0,358675.0,281374.0,1274727.0,Africa,,3012154.0,
Mayotte,42027.0,,188.0,,,,,,146815.0,657.0,176919.0,618038.0,286259.0,Africa,,715232.0,
Togo,39491.0,,290.0,,39193.0,,8.0,,4549.0,33.0,811283.0,93457.0,8680837.0,Africa,,2202993411.0,
Guinea,38563.0,,468.0,,37757.0,,338.0,8.0,2781.0,34.0,660107.0,47607.0,13865691.0,Africa,,3602962821.0,
Bahamas,38084.0,,844.0,,36366.0,,874.0,1.0,95087.0,2107.0,257839.0,643767.0,400516.0,North America,,114752.0,
Isle of Man,38008.0,,116.0,,,,,,443335.0,1353.0,150753.0,1758422.0,85732.0,Europe,,27391.0,
Lesotho,34790.0,,723.0,,25980.0,,8087.0,,15990.0,332.0,431221.0,198199.0,2175699.0,Africa,,6330095.0,
Faeroe Islands,34658.0,,28.0,,,,,5.0,703959.0,569.0,778000.0,15802409.0,49233.0,Europe,,117580.0,
Haiti,34237.0,,860.0,,33357.0,,20.0,,2931.0,74.0,132422.0,11337.0,11680283.0,North America,,3411358288.0,
Mali,33148.0,,743.0,,32330.0,,75.0,,1544.0,35.0,804199.0,37450.0,21473764.0,Africa,,6482890127.0,
Cayman Islands,31472.0,,37.0,,8553.0,,22882.0,1.0,467797.0,550.0,222773.0,3311280.0,67277.0,North America,,218180.0,
Saint Lucia,30052.0,,409.0,,29095.0,,548.0,,162344.0,2209.0,210983.0,1139752.0,185113.0,North America,,64531.0,
Benin,28014.0,,163.0,,27847.0,,4.0,,2191.0,13.0,604310.0,47268.0,12784726.0,Africa,,4567843421.0,
Somalia,27334.0,,1361.0,,13182.0,,12791.0,,1623.0,81.0,400466.0,23778.0,16841795.0,Africa,,6161237542.0,
Micronesia,26458.0,,65.0,,,,,1.0,225196.0,553.0,82178.0,699453.0,117489.0,Australia/Oceania,,418081.0,
Congo,25375.0,,386.0,,24006.0,,983.0,,4377.0,67.0,347815.0,59991.0,5797805.0,Africa,,2281502017.0,
Solomon Islands,24575.0,,153.0,,,,,1.0,34077.0,212.0,,,721159.0,Australia/Oceania,,294713.0,
San Marino,24247.0,,125.0,,24098.0,,24.0,4.0,711369.0,3667.0,196855.0,5775414.0,34085.0,Europe,,12730.0,
Timor-Leste,23443.0,,138.0,,23102.0,,203.0,,17119.0,101.0,278529.0,203391.0,1369429.0,Asia,,5899235.0,
Burkina Faso,22056.0,,396.0,,21596.0,,64.0,,998.0,18.0,248995.0,11265.0,22102838.0,Africa,,10025581589.0,
Liechtenstein,21445.0,,94.0,,21350.0,,1.0,,558653.0,2449.0,112457.0,2929559.0,38387.0,Europe,,24080.0,
Gibraltar,20550.0,,113.0,,16579.0,,3858.0,,609720.0,3353.0,534283.0,15852213.0,33704.0,Europe,,22980.0,
Grenada,19693.0,,238.0,,19358.0,,97.0,4.0,173545.0,2097.0,182981.0,1612523.0,113475.0,North America,,64771.0,
Bermuda,18860.0,,165.0,,18685.0,,10.0,,304493.0,2664.0,1029558.0,16622128.0,61939.0,North America,,33750.0,
Nicaragua,18491.0,,225.0,,4225.0,,14041.0,,2728.0,33.0,,,6779100.0,North America,,36730129.0,
South Sudan,18368.0,,138.0,,18115.0,,115.0,1.0,1581.0,12.0,410280.0,35313.0,11618511.0,Africa,,6338419228.0,
Tajikistan,17786.0,,125.0,,17264.0,,397.0,,1786.0,13.0,,,9957464.0,Asia,,56079660.0,
Equatorial Guinea,17229.0,,183.0,,16907.0,,139.0,5.0,11512.0,122.0,365697.0,244342.0,1496662.0,Africa,,8781784.0,
Tonga,16817.0,,13.0,,15638.0,,1166.0,,156076.0,121.0,535009.0,4965327.0,107749.0,Australia/Oceania,,682880.0,
Monaco,16771.0,,67.0,,15992.0,,712.0,4.0,421562.0,1684.0,78646.0,1976875.0,39783.0,Europe,,25941.0,
Samoa,16763.0,,31.0,,1605.0,,15127.0,,82887.0,153.0,187397.0,926612.0,202239.0,Australia/Oceania,,1265241.0,
Marshall Islands,16081.0,,17.0,,15954.0,,110.0,,267762.0,283.0,,,60057.0,Australia/Oceania,,43533.0,
Dominica,15760.0,,74.0,,15673.0,,13.0,,217848.0,1023.0,229344.0,3170187.0,72344.0,North America,,59780.0,
Djibouti,15690.0,,189.0,,15427.0,,74.0,,15441.0,186.0,305941.0,301094.0,1016097.0,Africa,,6553763.0,
CAR,15368.0,,113.0,,15200.0,,55.0,2.0,3063.0,23.0,81294.0,16205.0,5016678.0,Africa,,3264439562.0,
Gambia,12626.0,,372.0,,12189.0,,65.0,,4935.0,145.0,155686.0,60851.0,2558482.0,Africa,,203687816.0,
Saint Martin,12300.0,,63.0,,1399.0,,10838.0,7.0,309590.0,1586.0,112382.0,2828643.0,39730.0,North America,,36310.0,
Vanuatu,12016.0,,14.0,,11976.0,,26.0,,37336.0,44.0,24976.0,77606.0,321832.0,Australia/Oceania,,272298813.0,
Greenland,11971.0,,21.0,,2761.0,,9189.0,4.0,210117.0,369.0,164926.0,2894810.0,56973.0,North America,,527130.0,
Yemen,11945.0,,2159.0,,9124.0,,662.0,23.0,383.0,69.0,329592.0,10579.0,31154867.0,Asia,,26081443095.0,
Caribbean Netherlands,11682.0,,38.0,,10476.0,,1168.0,,438398.0,1426.0,30126.0,1130559.0,26647.0,North America,,27011.0,
Sint Maarten,11030.0,,92.0,,10905.0,,33.0,,250876.0,2093.0,62056.0,1411454.0,43966.0,North America,,44781.0,
Niger,9931.0,,312.0,,8890.0,,729.0,1.0,381.0,12.0,254538.0,9759.0,26083660.0,Africa,,262683601102.0,
St. Vincent Grenadines,9631.0,,124.0,,9493.0,,14.0,,86337.0,1112.0,114197.0,1023720.0,111551.0,North America,,129001.0,
Guinea-Bissau,9614.0,,177.0,,8929.0,,508.0,6.0,4659.0,86.0,145231.0,70385.0,2063367.0,Africa,,2151165714.0,
Comoros,9109.0,,161.0,,8939.0,,9.0,,10038.0,177.0,,,907419.0,Africa,,1005636.0,
Antigua and Barbuda,9106.0,,146.0,,8954.0,,6.0,1.0,91509.0,1467.0,18901.0,189943.0,99509.0,North America,,116825.0,
Liberia,8090.0,,295.0,,7783.0,,12.0,2.0,1525.0,56.0,139824.0,26356.0,5305117.0,Africa,,6561798338.0,
Sierra Leone,7762.0,,126.0,,,,,,934.0,15.0,259958.0,31296.0,8306436.0,Africa,,10706592432.0,
Chad,7701.0,,194.0,,4874.0,,2633.0,,442.0,11.0,191341.0,10988.0,17413580.0,Africa,,22618976191.0,
British Virgin Islands,7305.0,,64.0,,,,,,238757.0,2092.0,107339.0,3508269.0,30596.0,North America,,44780.0,
Cook Islands,7106.0,,2.0,,7078.0,,26.0,,404416.0,114.0,19690.0,1120596.0,17571.0,Australia/Oceania,,287861.0,
Saint Kitts and Nevis,6600.0,,48.0,,6550.0,,2.0,,122515.0,891.0,126941.0,2356388.0,53871.0,North America,,811220.0,
Turks and Caicos,6588.0,,38.0,,6529.0,,21.0,4.0,165773.0,956.0,612335.0,15408143.0,39741.0,North America,,610460.0,
Sao Tome and Principe,6580.0,,80.0,,6495.0,,5.0,,28900.0,351.0,29036.0,127530.0,227679.0,Africa,,3528468.0,
Palau,6009.0,,9.0,,5998.0,,2.0,,329567.0,494.0,69729.0,3824330.0,18233.0,Australia/Oceania,,320260.0,
St. Barth,5486.0,,6.0,,,,,,551634.0,603.0,78646.0,7908095.0,9945.0,North America,,216580.0,
Nauru,5393.0,,1.0,,5347.0,,45.0,,494635.0,92.0,20509.0,1881042.0,10903.0,Australia/Oceania,,2109031.0,
Kiribati,5025.0,,24.0,,2703.0,,2298.0,3.0,40715.0,194.0,,,123419.0,Australia/Oceania,,255142.0,
Anguilla,3904.0,,12.0,,3879.0,,13.0,4.0,256336.0,788.0,51382.0,3373736.0,15230.0,North America,,412690.0,
Macao,3620.0,1.0,121.0,,3479.0,7.0,20.0,,5423.0,181.0,7850.0,11760.0,667490.0,Asia,,184551685.0,1.0
Saint Pierre Miquelon,3452.0,,2.0,,2449.0,,1001.0,1.0,599410.0,347.0,25400.0,4410488.0,5759.0,North America,,228800.0,
Wallis and Futuna,3427.0,,7.0,,438.0,,2982.0,,312056.0,637.0,20508.0,1867419.0,10982.0,Australia/Oceania,,315691.0,
Tuvalu,2805.0,,,,,,2805.0,,232471.0,,,,12066.0,Australia/Oceania,,4.0,
Saint Helena,2166.0,,,,2.0,,2164.0,,354211.0,,,,6115.0,Africa,,3.0,
Montserrat,1403.0,,8.0,,1376.0,,19.0,,282578.0,1611.0,17762.0,3577442.0,4965.0,North America,,46210.0,
Niue,804.0,2.0,,,802.0,,2.0,,495684.0,,,,1622.0,Australia/Oceania,,2.0,1233.0
Tokelau,5.0,,,,,,5.0,,3628.0,,,,1378.0,Australia/Oceania,,276.0,
